matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
KR_5109300128,1287266,True,24,Jax,JUNGLE,JUNGLE,NONE,Red,2,2,0,6,4,3,2,13,7329,11,3,31243,268,4385,18007,5336,10,18,3227,7,60,3041,6,44
KR_6069794653,1983,False,876,Lillia,TOP,TOP,SOLO,Blue,3,0,0,1,6,10,6,26,14113,17,256,307,307,26167,33149,12036,17,160,3851,8,85,3388,8,63
KR_5616846778,1939,True,101,Xerath,UTILITY,MIDDLE,SUPPORT,Blue,3,1,1,10,9,8,18,46,12917,15,36,5323,1610,32233,19069,9836,14,27,3055,6,4,2880,7,16
KR_6099108647,1649,False,145,Kaisa,BOTTOM,BOTTOM,CARRY,Blue,0,1,0,0,2,5,6,15,10315,13,212,6714,824,12772,17671,15892,16,235,3468,7,90,4559,7,91
KR_6074506611,1863,False,22,Ashe,UTILITY,BOTTOM,SUPPORT,Red,0,1,0,2,1,8,10,89,7947,12,37,1934,1820,14434,15458,11404,16,169,2978,6,9,3372,8,66
KR_5972903021,1501,True,89,Leona,UTILITY,BOTTOM,SUPPORT,Red,2,1,0,9,0,1,24,55,7562,12,26,184,184,6122,11438,5902,11,20,3212,7,18,2402,5,12
KR_6075655292,1430,True,10,Kayle,TOP,TOP,SOLO,Blue,3,2,1,7,6,3,9,23,12333,15,196,24364,4068,19017,16639,9919,14,184,4531,9,95,3787,9,81
KR_6044739412,3239,False,41,Gangplank,TOP,JUNGLE,NONE,Red,4,1,4,11,9,10,9,18,24515,18,370,23372,10791,47233,49953,22069,18,330,3966,9,80,3477,8,71
KR_6093115028,1759,True,126,Jayce,TOP,TOP,SOLO,Red,3,2,2,11,5,7,11,26,12838,16,181,7510,4117,21742,17921,12679,16,254,3398,8,58,5393,9,88
KR_5927670888,1165,False,111,Nautilus,UTILITY,NONE,SUPPORT,Blue,0,0,0,1,2,8,5,16,5181,10,30,0,0,4073,14966,6972,10,7,2171,6,21,4047,6,5
KR_5833431472,1426,False,126,Jayce,TOP,TOP,SOLO,Red,2,2,0,3,6,6,0,19,10725,14,183,8022,5002,16684,15036,10674,15,211,4935,9,76,4096,8,65
KR_6048958883,1367,False,131,Diana,JUNGLE,JUNGLE,NONE,Blue,0,1,0,2,9,5,10,14,11899,14,62,17641,1821,16801,20865,11179,14,25,6174,9,78,4004,7,58
KR_6027704126,1627,True,27,Singed,TOP,TOP,SOLO,Red,4,0,0,10,2,5,16,6,8722,14,155,4367,2243,16974,25472,11964,13,164,3190,8,60,4508,9,80
KR_6047993653,1839,True,517,Sylas,MIDDLE,MIDDLE,SOLO,Red,4,0,0,3,9,2,9,28,11362,15,165,6343,1115,18963,24710,10772,14,191,3486,8,67,3752,7,50
KR_6023532772,2137,False,22,Ashe,BOTTOM,BOTTOM,CARRY,Red,2,2,1,6,11,10,15,24,16359,15,219,13064,4150,31485,31802,15677,17,208,5309,7,87,3871,7,89
KR_4896376005,1618756,False,37618237,Hecarim,JUNGLE,JUNGLE,NONE,Red,3,0,0,2,4,4,6,13,7741,11,18,6931,424,7889,24469,9018,13,12,3238,6,36,3422,7,57
KR_6075532535,1591,False,412,Thresh,UTILITY,BOTTOM,SUPPORT,Red,0,1,0,3,1,9,15,35,6571,12,26,0,0,3102,18739,12516,15,154,2691,6,12,4780,8,59
KR_5805966997,1732,True,154,Zac,JUNGLE,JUNGLE,NONE,Blue,3,2,1,10,8,1,8,25,11200,14,35,15487,124,11885,24385,8216,13,21,3721,7,50,3119,7,65
KR_5827274376,1413,True,131,Diana,JUNGLE,JUNGLE,NONE,Blue,3,2,1,10,8,0,6,37,12125,14,36,50307,6226,13833,15103,8000,11,29,3834,7,73,4163,8,77
KR_5993666915,2576,True,85,Kennen,TOP,TOP,SOLO,Blue,4,0,1,10,3,7,16,27,13707,18,168,7527,5177,33664,30701,17380,18,297,2636,8,46,4475,9,87
KR_5806597185,2056,False,32,Amumu,JUNGLE,JUNGLE,NONE,Blue,2,0,0,3,2,8,13,41,10478,14,27,11948,0,14525,30561,8478,14,11,3306,7,67,2247,6,2
KR_5806436450,1199,True,99,Lux,UTILITY,NONE,SUPPORT,Red,3,1,0,4,2,2,10,37,5965,10,9,3781,1072,6310,3114,6010,10,103,3695,7,5,4003,8,67
KR_6021475002,1103,True,74,Heimerdinger,TOP,NONE,DUO,Blue,2,1,0,2,5,3,3,10,7786,13,138,3494,3494,11649,9725,6379,12,119,4635,10,80,3612,8,65
KR_6080493671,1897,True,41,Gangplank,TOP,TOP,SOLO,Red,3,1,1,11,7,6,13,15,15743,17,201,44503,8232,30914,30251,13377,16,209,3525,8,69,4235,9,70
KR_6043262926,1535,False,526,Rell,UTILITY,BOTTOM,SUPPORT,Red,1,0,1,5,1,6,15,33,6480,12,31,1165,0,6703,18910,6816,10,28,2617,6,17,2452,5,14
KR_6099006917,2070,False,104,Graves,JUNGLE,JUNGLE,NONE,Blue,0,2,0,3,2,11,11,29,12665,16,65,22336,636,22732,34342,13586,18,60,3550,7,58,3798,8,65
KR_5391856765,1773835,True,104,Graves,JUNGLE,JUNGLE,NONE,Red,1,1,1,11,7,4,6,21,11854,15,25,16005,605,18813,22234,10269,15,169,3371,7,58,3342,9,51
