matchID,matchDuration,win,champID,champName,position,lane,role,side,dragons,heralds,barons,towers,kills,deaths,assists,vision,gold,level,minions,objDamage,turretDamage,champDamage,takenDamage,oppGold,oppLevel,oppMinions,gold@10,level@10,minions@10,oppGold@10,oppLevel@10,oppMinions@10
EUW1_6027448454,2003,True,103,Ahri,MIDDLE,MIDDLE,CARRY,Blue,3,2,2,9,8,6,19,20,13200,17,177,14800,3274,26092,23099,11446,15,193,3826,8,76,3843,8,75
EUW1_5368748907,2467026,True,67,Vayne,BOTTOM,BOTTOM,CARRY,Blue,4,0,1,8,11,3,15,43,18754,18,280,29184,2876,38193,24300,15598,17,242,5045,7,85,3746,7,85
EUW1_5983753350,1306,True,22,Ashe,UTILITY,BOTTOM,SUPPORT,Blue,1,1,0,10,1,4,15,33,7455,11,22,1633,1633,10279,8928,7990,11,124,2956,7,9,3200,6,59
EUW1_5363822512,1537704,False,103,Ahri,MIDDLE,MIDDLE,SOLO,Blue,0,0,0,2,2,5,6,13,7928,12,129,2134,878,15341,13920,10094,14,113,3789,8,54,3262,7,39
EUW1_5996618502,1358,True,161,Velkoz,UTILITY,BOTTOM,SUPPORT,Red,3,2,1,9,3,2,8,40,7924,11,30,5278,2119,13095,8029,5628,10,14,2664,6,4,2819,7,4
EUW1_5203161677,1288217,True,68,Rumble,TOP,JUNGLE,NONE,Blue,3,0,0,7,2,0,7,11,7631,13,141,5186,3374,11774,7621,7932,12,142,2821,8,56,4216,9,87
EUW1_5505893884,1510,False,142,Zoe,MIDDLE,MIDDLE,SOLO,Blue,0,0,0,1,4,7,5,18,8675,14,145,2250,0,14746,15782,12480,15,191,3219,8,82,4440,9,100
EUW1_5445625958,1831780,False,16,Soraka,UTILITY,BOTTOM,SUPPORT,Red,0,0,0,2,0,6,10,52,6452,11,16,993,622,5127,13617,9004,15,27,2481,6,7,2767,6,7
EUW1_5557180452,2283,False,412,Thresh,UTILITY,BOTTOM,CARRY,Blue,1,0,0,2,2,14,10,37,9032,16,75,447,0,7267,36737,12585,18,29,3018,7,30,3471,6,0
EUW1_6034265716,2456,True,53,Blitzcrank,UTILITY,BOTTOM,SUPPORT,Red,4,0,2,9,1,10,22,106,11182,16,40,1544,719,13324,37533,10177,16,18,2775,6,17,2604,6,6
EUW1_6002359019,1310,False,51,Caitlyn,BOTTOM,BOTTOM,CARRY,Red,0,0,0,0,3,13,0,8,7530,10,119,2449,354,12028,21454,12145,13,165,3289,6,60,5340,8,77
EUW1_5962747852,2287,False,202,Jhin,BOTTOM,MIDDLE,DUO,Blue,3,2,1,6,4,4,4,18,13735,16,241,12760,3203,17135,23804,18920,18,236,3316,7,75,3114,6,62
EUW1_5961847580,1086,True,131,Diana,JUNGLE,NONE,SUPPORT,Blue,1,2,0,9,3,3,2,8,8086,11,15,21464,5099,4564,12321,7661,9,9,3835,8,73,4619,8,72
EUW1_5959978573,1322,False,711,Vex,MIDDLE,MIDDLE,CARRY,Red,1,0,0,1,1,5,1,4,5320,10,59,424,28,5253,12910,10009,12,67,2970,7,30,5687,8,43
EUW1_5996489906,2493,True,84,Akali,TOP,TOP,SOLO,Blue,1,2,2,11,7,4,11,13,17358,18,237,10822,3944,29426,38320,15852,18,289,3425,8,65,3367,8,71
EUW1_5613624855,1514,True,145,Kaisa,BOTTOM,BOTTOM,CARRY,Blue,1,1,1,10,8,7,11,13,11351,14,131,11223,6016,13593,13307,14566,13,182,3450,7,57,6043,8,90
EUW1_5709358387,1979,False,43,Karma,UTILITY,BOTTOM,SUPPORT,Blue,1,1,0,3,3,10,14,84,9185,15,40,543,247,14436,24178,12783,17,45,3064,7,6,2697,6,9
EUW1_5525478788,1566,False,39,Irelia,TOP,MIDDLE,SOLO,Red,2,1,0,5,6,3,0,10,11855,15,213,12495,4172,10498,16167,11725,15,170,3875,9,88,3896,9,86
EUW1_5780432940,1902,False,107,Rengar,JUNGLE,JUNGLE,NONE,Red,1,2,0,5,5,10,7,24,14486,16,33,42230,3097,15242,37696,10960,15,23,4334,8,73,4103,7,51
EUW1_5725382579,2051,False,154,Zac,JUNGLE,JUNGLE,NONE,Blue,1,0,0,3,12,6,10,30,15752,17,60,6265,0,21315,47535,13998,17,53,3020,6,44,3670,7,72
EUW1_5795656322,1724,False,64,LeeSin,JUNGLE,JUNGLE,NONE,Blue,0,1,0,3,11,12,4,17,11819,13,18,13240,507,15563,32281,11533,15,11,4369,7,48,4387,7,53
EUW1_6036387641,1428,True,103,Ahri,MIDDLE,MIDDLE,SOLO,Blue,1,0,1,5,2,2,7,12,8511,14,146,5166,1305,9584,10446,6717,12,135,3088,8,62,3035,8,57
EUW1_5053063404,1834844,False,37290552,Vi,JUNGLE,JUNGLE,NONE,Blue,2,1,0,1,0,10,2,2,6245,10,36,2406,312,4173,19295,8980,13,16,2463,5,34,3340,7,58
EUW1_6022970864,1236,False,11,MasterYi,MIDDLE,MIDDLE,SOLO,Red,1,0,0,0,6,8,3,9,8179,11,91,0,0,7561,14631,10574,13,164,3753,7,56,4312,9,80
